Opponent,GF,GA,Outcome
Minnesota Wild,7,3,W
Boston Bruins,1,4,L
Detroit Red Wings,2,1,W
Boston Bruins,4,3,W
Philadelphia Flyers,0,3,L
Philadelphia Flyers,4,3,W
Washington Capitals,4,3,W
Tampa Bay Lightning,2,4,L
Florida Panthers,3,2,W
Tampa Bay Lightning,1,2,L
Montreal Canadiens,4,1,W
Detroit Red Wings,5,1,W
Toronto Maple Leafs,5,2,W
Toronto Maple Leafs,0,4,L
Buffalo Sabres,2,5,L
Washington Capitals,3,5,L
Los Angeles Kings,1,2,L
Anaheim Ducks,2,3,L
San Jose Sharks,0,5,L
Ottawa Senators,7,3,W
Buffalo Sabres,4,2,W
Washington Capitals,2,5,L
Carolina Hurricanes,2,6,L
New Jersey Devils,5,2,W
Philadelphia Flyers,3,6,L
Philadelphia Flyers,2,5,L
Washington Capitals,4,3,W
Washington Capitals,5,4,W
New York Rangers,4,3,W
New York Rangers,3,2,W
Boston Bruins,2,3,L
Boston Bruins,1,4,L
New York Rangers,5,4,W
New York Rangers,1,3,L
New York Islanders,3,4,L
New York Islanders,4,3,W
Washington Capitals,6,3,W
Washington Capitals,1,3,L
New York Islanders,4,1,W
New York Islanders,3,2,W
Washington Capitals,3,2,W
Washington Capitals,2,5,L
New York Islanders,4,3,W
New York Islanders,0,2,L
Philadelphia Flyers,5,2,W
Philadelphia Flyers,3,4,L
Philadelphia Flyers,4,3,W
New York Rangers,5,1,W
New York Rangers,4,2,W
Buffalo Sabres,5,2,W
Buffalo Sabres,3,0,W
Boston Bruins,4,1,W
Boston Bruins,1,2,L
New Jersey Devils,2,3,L
New Jersey Devils,3,1,W
New Jersey Devils,1,2,L
Buffalo Sabres,5,2,W
Buffalo Sabres,4,0,W
New York Islanders,6,3,W
New York Islanders,2,1,W
Boston Bruins,4,1,W
Boston Bruins,5,7,L
New York Rangers,4,8,L
New York Rangers,5,2,W
New Jersey Devils,6,4,W
New Jersey Devils,5,2,W
Philadelphia Flyers,1,2,L
Buffalo Sabres,3,2,W
Buffalo Sabres,2,4,L
New Jersey Devils,7,6,W
New Jersey Devils,5,1,W
New Jersey Devils,4,2,W
Boston Bruins,1,0,W
Boston Bruins,1,3,L
Washington Capitals,5,4,W
Washington Capitals,3,0,W
Philadelphia Flyers,2,7,L
Philadelphia Flyers,7,3,W
Buffalo Sabres,8,4,W
Buffalo Sabres,1,0,W
Tampa Bay Lightning,6,2,W
Florida Panthers,4,5,L
Chicago Blackhawks,5,2,W
Dallas Stars,1,2,L
Toronto Maple Leafs,7,1,W
Tampa Bay Lightning,1,5,L
Calgary Flames,0,4,L
New Jersey Devils,2,4,L
Philadelphia Flyers,3,2,W
Minnesota Wild,4,5,L
Chicago Blackhawks,2,3,L
Florida Panthers,3,2,W
Ottawa Senators,3,6,L
Washington Capitals,1,6,L
Buffalo Sabres,1,2,L
